name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
HealthifyMe,Bengaluru,1819,Healthcare,2012,1,923.67,5,0,229.71,-142,Pre-Series D,371.72,-120.59
Healthkart,Gurugram,1117,"Fitness/Nutrition Brand,",2011,1,1742.92,11,1,851.85,-164.71,Series H,1016.55,-111.55
HealthPlix,Bengaluru,345,Healthcare,2014,1,348.75,11,0,29.58,-41.94,Series C,71.52,-43.38
Hello English,Jaipur,128,EdTech,2010,0,49,4,0,7.23,-9.52,Series A,17.79,-10.74
Herby Angel,Noida,4,Beauty & Wellness,2023,0,20.83,1,0,0.375,-5.12,Seed,5.33,-5.82
Hero Electric,Gurugram,830,Automotive Tech,1993,1,425.66,6,0,852.39,-29.96,Series B,,-261.08
HFN Mandi,Chandigarh,82,Agritech,2016,1,31.93,1,0,37.57,0.596,Venture Round,36.82,-12.11
HighRadius,Hyderabad,4300,SaaS,2006,1,3422.5,4,0,842.18,89.62,Series C,735.25,79.67
Hike,Delhi,395,Gaming,2012,1,1681.88,8,5,151.96,-147.34,Series D,299.31,-94.56
Hirect,Bengaluru,330,HR Tech,2018,1,118.5,1,0,32.27,-2.82,Series B,35.1,-43.73888889
Hitwicket,Hyderabad,63,Gaming,2010,1,27.53,5,0,0.8723000000000001,-0.9956,Seed,1.86,-0.2042
Hobit,Faridabad,32,EdTech,2020,1,6.22,4,0,0.131,-0.2368,Seed,,-44.05101
HobSpace,Mumbai,141,EdTech,2019,1,49.08,4,0,9.36,-22.52,Pre- Series A,31.88,-44.05101
HONO,Gurugram,163,HR Tech,2008,1,50.16,3,0,75.63,-8.92,Series A,84.55,-2.37
HROne,Noida,156,HR Tech,2016,1,65.52,2,0,20.36,-12.86,pre-Series B,33.21,-43.73888889
HUVIAiR,Bengaluru,64,SaaS,2016,1,26.76,4,0,2.1,-14.85,Series A,16.96,-14.15
